CPU,10,Ryzen 7 9800X3D,AMD,399.95,AM5,8,16,4.7,5.2
CPU,11,Ryzen 5 7600X,AMD,179.0,AM5,6,12,4.7,5.3
GPU,12,ROG Astral OC GeForce RTX 5090,Asus,2642.89,GeForce RTX 5090,32GB GDDR7,2.01,2.61,358,Black/Silver
Motherboard,13,B650 Gaming Plus WiFi,MSI,134.99,AM5,ATX,AMD B650,192,true,Black
Case,14,3500X ARGB,Corsair,89.99,Case,410,White,460.0,240.0,506.0,55.862
